,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
27,Vaini,0,IN,1551301330,79,15.34,74.49,56.2,1.92
28,Laguna,90,MX,1551300000,27,27.52,-110.01,77.0,8.05
29,Bluff,44,AU,1551301338,62,-23.58,149.07,69.03,12.33
30,Punta Arenas,75,CL,1551300793,66,-53.16,-70.91,53.6,28.86
31,Neiafu,75,TO,1551301200,83,-18.65,-173.98,84.2,13.87
32,Le Port,0,FR,1551301318,22,42.87,1.37,57.99,1.7
33,Coquimbo,20,CL,1551297600,64,-29.95,-71.34,69.8,13.87
34,Rikitea,64,PF,1551301353,100,-23.12,-134.97,79.87,9.75
35,San Patricio,20,PY,1551301355,51,-26.98,-56.83,78.39,5.73
36,Svetlaya,8,RU,1551301367,94,46.54,138.33,26.95,5.61
37,San Andres,0,PH,1551301369,100,13.32,122.68,77.58,14.12
38,Karratha,0,AU,1551301181,93,-20.74,116.85,77.67,5.39
39,Sabha,0,LY,1551301373,56,27.03,14.43,50.22,8.97
40,Khatanga,64,RU,1551301374,66,71.98,102.47,-9.37,8.75
41,Pangkalanbuun,8,ID,1551301378,94,-2.68,111.62,72.09,2.71
42,Soyo,80,AO,1551301382,97,-6.13,12.37,77.31,2.93
43,Arraial do Cabo,20,BR,1551297600,70,-22.97,-42.02,87.8,10.29
44,Batagay,12,RU,1551301388,0,67.65,134.64,-39.43,2.93
45,Nakamura,75,JP,1551301277,81,35.17,136.87,54.0,13.87
46,Alta Gracia,20,AR,1551300933,47,-31.66,-64.43,84.0,6.93
47,Seymchan,68,RU,1551301395,64,62.93,152.39,-9.55,5.95
48,Ughelli,64,NG,1551301398,91,5.49,6.0,78.43,5.39
49,Broome,0,GB,1551301384,81,52.47,1.45,48.2,2.24
50,Port Elizabeth,90,US,1551301395,41,39.31,-74.98,39.2,10.29
51,Tiksi,0,RU,1551301403,33,71.64,128.87,-23.32,5.5
52,Saskylakh,64,RU,1551301405,82,71.97,114.09,-19.45,3.15
53,Lubartow,0,PL,1551301144,79,51.46,22.61,46.0,14.99
54,Kaitangata,64,NZ,1551301375,71,-46.28,169.85,51.01,11.01
55,Nantucket,90,US,1551301200,41,41.28,-70.1,26.01,5.82
56,Eyl,8,SO,1551301415,100,7.98,49.82,71.01,4.61
57,New Norfolk,0,AU,1551301039,82,-42.78,147.06,55.4,5.82
58,Sai Buri,0,TH,1551301420,88,6.7,101.62,75.51,4.16
59,Tasiilaq,80,GL,1551297000,96,65.61,-37.64,32.0,17.22
60,Clyde River,5,CA,1551297600,75,70.47,-68.59,-16.61,5.82
61,Kyzyl-Suu,12,KG,1551301427,100,42.34,78.0,17.32,5.61
62,San Jeronimo,92,PE,1551301428,86,-13.65,-73.37,49.86,2.48
63,Lebu,0,ET,1551297600,29,8.96,38.73,66.2,9.17
64,Chapais,90,CA,1551300540,60,49.78,-74.86,6.8,5.82
65,Mar del Plata,0,AR,1551301433,32,-46.43,-67.52,74.61,0.58
66,Sitka,32,US,1551301295,64,37.17,-99.65,19.99,11.99
67,Saint-Philippe,90,CA,1551301426,38,45.36,-73.48,10.99,5.17
68,Esperance,20,TT,1551301338,58,10.24,-61.45,87.01,12.75
69,Raudeberg,75,NO,1551301206,93,61.99,5.14,41.0,25.28
70,Atar,0,MR,1551301439,12,20.52,-13.05,69.3,12.44
71,Bayamo,20,CU,1551300600,55,20.38,-76.64,86.0,14.99
72,Torbay,90,CA,1551301329,73,47.66,-52.73,25.0,35.57
73,Sawtell,92,AU,1551301411,88,-30.38,153.1,66.99,8.05
74,Kalmunai,32,LK,1551301449,100,7.42,81.82,72.4,2.93
75,Nautanwa,88,NP,1551301450,92,27.43,83.42,52.87,3.15
76,Toucheng,75,TW,1551301427,93,24.86,121.82,68.0,10.29
77,Maumere,20,ID,1551301453,100,-8.63,122.22,81.4,0.92
78,Falkenberg,1,DE,1551301431,100,49.86,12.22,44.6,5.61
79,Severo-Kurilsk,56,RU,1551301456,100,50.68,156.12,25.11,24.07
80,Puerto Ayora,75,EC,1551297600,70,-0.74,-90.35,86.0,8.05
81,Airai,56,TL,1551301458,93,-8.93,125.41,69.97,1.59
82,Mataura,88,NZ,1551301207,75,-46.19,168.86,52.0,5.99
83,Oussouye,0,SN,1551297600,21,12.49,-16.54,84.2,4.7
84,San Onofre,0,CO,1551301462,59,9.74,-75.52,90.81,8.3
85,Monrovia,75,LR,1551297600,83,6.33,-10.8,80.6,10.98
86,Broken Hill,0,AU,1551297600,25,-31.97,141.45,75.2,10.29
87,Katsuura,90,JP,1551300139,87,33.93,134.5,46.4,11.41
88,Georgetown,75,GY,1551297600,78,6.8,-58.16,80.6,16.11
89,Yarada,100,IN,1551301469,100,17.65,83.27,79.38,6.62
90,Kodiak,1,US,1551301412,31,39.95,-94.76,23.0,12.75
91,Maloy,0,ID,1551301472,80,1.0,118.1,76.41,3.6
92,Komsomolskiy,12,RU,1551301473,47,67.55,63.78,-9.05,5.17
93,Codrington,75,AU,1551301446,93,-28.95,153.24,73.4,8.05
94,Bambous Virieux,75,MU,1551301441,83,-20.34,57.76,81.0,3.36
95,Souillac,0,FR,1551301403,41,45.6,-0.6,59.0,4.7
96,Kapaa,75,US,1551301411,53,22.08,-159.32,75.2,20.8
97,Taozhuang,0,CN,1551301444,76,39.86,116.51,41.0,4.47
98,Petinos,20,GR,1551301466,52,41.1,24.9,44.01,4.7
99,Hermanus,8,ZA,1551301304,78,-34.42,19.24,66.0,8.01
100,Alofi,75,NU,1551301200,94,-19.06,-169.92,78.8,12.75
101,Cherskiy,88,RU,1551301486,80,68.75,161.3,-1.99,7.07
102,Kieta,36,PG,1551301487,100,-6.22,155.63,78.52,4.38
103,Dharchula,8,IN,1551301489,86,29.85,80.53,22.59,1.59
104,Belaya Gora,76,RU,1551301490,70,68.54,146.19,-16.3,4.38
105,Mama,75,MX,1551301221,28,20.48,-89.36,96.8,11.41
106,Bud,75,NO,1551301335,86,62.91,6.91,41.0,13.87
107,Taoudenni,0,ML,1551301494,19,22.68,-3.98,59.08,10.98
108,Tommot,64,RU,1551301495,72,58.97,126.27,12.78,7.07
109,Partyzany,64,UA,1551301498,100,45.14,35.15,35.82,12.44
110,Saint-Georges,36,CA,1551301264,63,46.12,-70.67,6.01,5.01
111,Tual,48,ID,1551301501,100,-5.67,132.75,82.93,1.92
112,Longyearbyen,75,NO,1551300600,77,78.22,15.63,3.2,6.93
113,Maningrida,88,AU,1551301505,96,-12.05,134.23,78.12,6.73
114,San Marcos,40,GT,1551301309,62,14.97,-91.79,91.4,6.93
115,Hithadhoo,24,MV,1551301508,100,-0.6,73.08,81.54,8.97
116,Bredasdorp,48,ZA,1551301304,59,-34.53,20.04,66.0,17.22
117,Carnarvon,24,ZA,1551301512,27,-30.97,22.13,62.23,9.64
118,Dolores Hidalgo,40,MX,1551301246,13,21.16,-100.93,86.0,4.7
119,Bodden Town,20,KY,1551301204,70,19.28,-81.25,84.99,11.41
120,Shelburne,90,CA,1551301330,85,44.08,-80.2,15.01,10.29
121,Vardo,90,US,1551301517,64,39.62,-77.74,46.0,9.17
122,Paciran,12,ID,1551301519,96,-6.9,112.33,72.09,2.93
123,Portree,24,GB,1551301278,86,57.41,-6.19,46.99,2.71
124,Bethel,1,US,1551300960,80,60.79,-161.76,37.4,19.46
125,Gander,90,CA,1551301371,79,48.95,-54.61,24.8,20.8
126,Burns Lake,0,CA,1551301518,54,54.23,-125.76,28.75,7.4
127,Itarema,92,BR,1551301527,89,-2.92,-39.92,79.33,4.38
128,Arlit,0,NE,1551301528,55,18.74,7.39,63.67,3.27
129,Paso de los Toros,20,UY,1551297600,38,-32.81,-56.52,75.2,5.82
130,Pontianak,76,ID,1551301531,100,-0.02,109.34,77.94,0.81
131,Kano,0,NG,1551297600,51,11.99,8.53,80.6,2.24
132,Puerto Baquerizo Moreno,75,EC,1551301200,100,-0.9,-89.6,77.0,4.7
133,Saint George,40,GR,1551297000,80,39.45,22.34,41.0,2.15
134,Ust-Ordynskiy,0,RU,1551299400,66,52.8,104.75,15.8,4.47
135,Dakar,0,SN,1551299400,46,14.69,-17.45,71.6,14.99
136,Ostrovnoy,88,RU,1551301539,88,68.05,39.51,19.8,12.44
137,Sohag,0,EG,1551297600,41,26.55,31.7,57.2,10.29
138,Deputatskiy,48,RU,1551301542,43,69.3,139.9,-28.99,2.82
139,Buena Vista,90,US,1551301286,31,38.84,-106.13,51.8,14.99
140,Lavrentiya,92,RU,1551301546,96,65.58,-170.99,29.43,38.61
141,Provideniya,92,RU,1551301547,92,64.42,-173.23,31.0,34.02
142,Te Anau,64,NZ,1551301548,95,-45.41,167.72,42.88,3.49
143,Cabo San Lucas,75,MX,1551301297,60,22.89,-109.91,81.0,10.29
144,Cidreira,76,BR,1551301551,82,-30.17,-50.22,70.15,9.98
145,Calabozo,0,VE,1551301552,36,8.92,-67.43,94.68,15.57
146,Arawa,36,NG,1551301554,89,7.05,3.9,77.22,4.38
147,Ginir,0,ET,1551301556,63,7.14,40.71,52.78,2.48
148,Coffs Harbour,92,AU,1551301411,88,-30.3,153.13,66.99,8.05
149,Sarkand,44,KZ,1551301559,53,45.41,79.91,13.5,2.26
150,Norman Wells,75,CA,1551297600,67,65.28,-126.83,21.2,6.93
151,Berlevag,75,NO,1551300600,73,70.86,29.09,23.0,25.28
152,Laureles,5,MX,1551300360,16,20.73,-103.39,86.0,3.36
153,Gunjur,0,GM,1551297600,36,13.18,-16.76,77.0,5.82
154,Upernavik,0,GL,1551301566,100,72.79,-56.15,5.31,22.28
155,Klaksvik,0,FO,1551300600,86,62.23,-6.59,37.4,9.17
156,Carutapera,92,BR,1551301569,88,-1.2,-46.02,78.7,7.07
157,Tsogni,56,GA,1551301570,95,-2.79,10.1,82.17,5.17
158,Dingli,20,MT,1551301242,76,35.86,14.38,52.0,5.82
159,Wajid,0,SO,1551301572,41,3.81,43.25,77.53,8.75
160,Jacareacanga,20,BR,1551297600,59,-6.22,-57.76,91.4,8.05
161,Tari,0,NG,1551301575,26,12.41,4.49,73.57,6.4
162,Valparaiso,1,US,1551301464,79,41.47,-87.06,33.01,6.93
163,Visby,0,SE,1551301442,75,57.64,18.3,46.99,9.17
164,Nome,90,US,1551301574,94,30.04,-94.42,69.8,3.36
165,Biograd na Moru,0,HR,1551301567,45,43.94,15.45,52.0,5.82
166,Dikson,56,RU,1551301583,91,73.51,80.55,0.63,34.92
167,Clonakilty,75,IE,1551301367,93,51.62,-8.87,48.0,8.05
168,Boyabat,88,TR,1551301409,90,41.47,34.77,27.09,2.37
169,Pevek,8,RU,1551301588,69,69.7,170.27,13.14,28.88
170,Tchibanga,64,GA,1551301589,97,-2.92,11.0,73.26,1.59
171,Sainte-Rose,90,CA,1551301540,46,45.61,-73.79,10.0,6.93
172,Lalmohan,68,BD,1551301592,100,22.34,90.74,68.35,10.98
173,Sergeyevka,20,KZ,1551301593,72,53.88,67.42,3.1,7.74
174,Butaritari,64,KI,1551301594,100,3.07,172.79,81.09,16.02
175,Vostok,36,RU,1551301596,70,46.45,135.83,7.65,2.48
176,Mabaruma,92,GY,1551301597,73,8.2,-59.78,81.22,9.31
177,Hinton,0,CA,1551301599,59,53.4,-117.57,23.04,3.04
178,Pointe-Noire,40,CG,1551297600,83,-4.8,11.85,82.4,4.7
179,Csongrad,0,HU,1551301516,56,46.71,20.14,42.01,4.7
180,Palauig,0,PH,1551301603,100,15.44,119.9,68.8,3.83
181,Manono,80,CD,1551301604,90,-7.3,27.4,73.44,2.93
182,Avarua,0,CK,1551299400,74,-21.21,-159.78,82.4,11.41
183,Puerto Leguizamo,8,CO,1551301509,29,-0.19,-74.78,97.42,3.15
184,Tautira,20,PF,1551301390,66,-17.73,-149.15,86.0,5.82
185,Aklavik,5,CA,1551297600,84,68.22,-135.01,14.0,6.93
186,Tazovskiy,48,RU,1551301610,71,67.47,78.7,-10.81,21.5
187,Ilulissat,5,GL,1551297000,45,69.22,-51.1,26.6,17.22
188,Hilo,90,US,1551301466,73,19.71,-155.08,70.0,16.11
189,Gargzdai,8,LT,1551298800,93,55.71,21.4,37.4,4.7
190,Nikolskoye,90,RU,1551301545,80,59.7,30.79,36.0,11.18
191,Ouargaye,12,BF,1551301617,23,11.5,0.06,74.83,8.63
192,Padang,88,ID,1551301619,100,-0.92,100.36,75.96,5.73
193,Shubarshi,48,KZ,1551301620,68,48.59,57.19,15.21,3.27
194,Nabire,92,ID,1551301621,97,-3.36,135.5,69.21,1.14
195,Tuatapere,92,NZ,1551301207,75,-46.13,167.69,52.0,5.99
196,Adelaide,0,AU,1551301515,73,-34.93,138.6,75.0,3.36
197,Victoria,75,BN,1551299400,94,5.28,115.24,75.2,6.96
198,Gambo,88,NG,1551301627,39,11.96,9.63,80.1,7.18
199,Cockburn Town,0,TC,1551301591,97,21.46,-71.14,78.07,19.48
200,Hamilton,90,CA,1551301474,85,43.26,-79.87,21.0,13.87
201,Ust-Nera,64,RU,1551301632,54,64.57,143.24,-34.43,1.81
202,Salinopolis,92,BR,1551301634,98,-0.61,-47.36,80.64,11.21
203,Kilindoni,32,TZ,1551301635,100,-7.91,39.67,83.47,7.85
204,Sao Filipe,0,CV,1551301636,81,14.9,-24.5,74.25,16.91
205,Korem,0,ET,1551301638,71,12.51,39.52,47.7,1.25
206,San Joaquin,0,PH,1551301639,80,10.59,122.14,71.77,11.77
207,Nalut,0,LY,1551301641,96,31.86,10.98,45.67,7.96
208,Gat,0,SN,1551299400,46,14.69,-16.54,69.8,14.99
209,Joshimath,20,IN,1551301644,97,30.57,79.57,-2.44,0.81
210,Morinville,40,CA,1551301369,58,53.8,-113.65,28.99,14.99
211,Saldanha,0,PT,1551301647,83,41.42,-6.55,40.14,1.7
212,Namibe,24,AO,1551301648,100,-15.19,12.15,77.76,1.59
213,Pringsewu,76,ID,1551301650,95,-5.36,104.98,74.34,2.37
214,Caravelas,80,BR,1551301652,100,-17.73,-39.27,83.43,16.35
215,Moranbah,24,AU,1551301653,82,-22.0,148.04,66.51,11.99
216,Chuy,0,UY,1551301655,72,-33.69,-53.46,71.37,6.51
217,Lompoc,90,US,1551301630,76,34.64,-120.46,60.01,12.75
218,Qaqortoq,75,GL,1551297000,33,60.72,-46.03,42.8,46.08
219,Jilib,20,SO,1551301659,90,0.49,42.79,76.77,10.09
220,Mutsu,88,JP,1551301209,64,41.29,141.2,28.99,5.84
221,Whitehorse,5,CA,1551297600,71,60.72,-135.06,8.6,3.15
222,Iqaluit,5,CA,1551301370,70,63.75,-68.52,-2.01,17.22
223,Ponta do Sol,36,BR,1551301664,88,-20.63,-46.0,75.28,2.93
224,Dabat,92,ET,1551301665,44,12.98,37.77,66.87,1.03
225,Bayir,0,TR,1551300600,48,37.27,28.22,45.0,12.75
226,Waingapu,12,ID,1551301668,97,-9.65,120.26,73.89,2.26
227,Santiago del Estero,44,AR,1551301669,63,-27.8,-64.26,79.6,6.85
228,Tabuk,12,PH,1551301671,88,17.41,121.44,54.54,1.7
229,Baykit,76,RU,1551301672,84,61.68,96.39,15.3,3.38
230,Dauphin,40,CA,1551297600,72,51.15,-100.04,17.6,25.28
231,Pinyug,44,RU,1551301676,67,60.25,47.79,9.22,5.17
232,Suzhou,48,CN,1551301653,54,31.3,120.58,48.0,6.4
233,Leningradskiy,0,RU,1551301678,80,69.38,178.42,15.12,14.56
234,Tabou,56,CI,1551301680,95,4.42,-7.36,82.93,9.08
235,Vila Velha,40,BR,1551301300,74,-3.71,-38.6,81.0,5.82
236,Geraldton,75,CA,1551297600,51,49.72,-86.95,12.2,10.29
237,Hambantota,80,LK,1551301684,100,6.12,81.12,76.18,5.39
238,Muzhi,56,RU,1551301686,73,65.4,64.7,2.92,13.44
239,Gelnhausen,0,DE,1551301626,60,50.2,9.19,52.0,3.36
240,Ossora,44,RU,1551301689,81,59.24,163.07,-2.35,4.94
241,Sibolga,68,ID,1551301690,100,1.74,98.78,69.52,1.59
242,Pozo Colorado,36,PY,1551301692,87,-23.49,-58.8,77.98,8.97
243,Marabba,0,SD,1551301694,22,12.35,32.18,84.24,13.0
244,Baculin,0,PH,1551301695,92,7.45,126.58,69.25,7.18
245,Benito Juarez,48,MX,1551301696,33,28.64,-111.57,79.0,1.99
246,Adrar,0,DZ,1551297600,40,27.87,-0.29,51.8,6.93
247,Storforshei,75,NO,1551301413,86,66.4,14.52,37.4,6.93
248,Okhansk,75,RU,1551299400,85,57.72,55.39,21.2,6.71
249,Kondinskoye,48,RU,1551301701,77,59.65,67.41,4.41,0.81
250,Kavaratti,0,IN,1551301704,100,10.57,72.64,82.44,11.32
251,Kapit,80,MY,1551301705,97,2.02,112.94,72.63,2.37
252,Muli,0,IN,1551301707,35,22.62,71.45,56.34,8.19
253,Killybegs,0,IE,1551299400,81,54.63,-8.45,44.6,9.17
254,Palora,75,EC,1551301200,73,-1.7,-77.97,78.8,3.36
255,Evensk,56,RU,1551301499,100,61.92,159.24,0.99,6.85
256,La Grande,90,US,1551301314,74,45.32,-118.09,36.0,1.81
257,Salalah,0,OM,1551300600,69,17.01,54.1,75.2,3.36
258,Matagami,76,NG,1551301714,94,9.67,8.4,67.41,3.38
259,Meulaboh,36,ID,1551301716,100,4.14,96.13,79.47,3.49
260,Katangli,44,RU,1551301717,97,51.71,143.23,18.58,8.86
261,Takoradi,76,GH,1551301718,95,4.89,-1.75,83.65,8.63
262,Richards Bay,92,ZA,1551301605,100,-28.77,32.06,70.74,4.16
263,Tabas,20,IR,1551301722,69,33.6,56.92,50.31,6.06
264,Narasannapeta,100,IN,1551301723,98,18.42,84.04,68.98,6.4
265,Faanui,88,PF,1551301725,100,-16.48,-151.75,83.2,10.76
266,Kahului,40,US,1551301563,47,20.89,-156.47,77.0,12.75
267,Port Hedland,0,AU,1551299400,88,-20.31,118.58,82.4,5.82
268,Tuktoyaktuk,20,CA,1551297600,77,69.44,-133.03,-2.21,13.87
269,Abu Samrah,92,SY,1551301730,95,35.3,37.18,49.0,15.79
270,Susanville,32,US,1551301645,94,40.42,-120.65,39.0,1.01
271,Kavieng,88,PG,1551301733,100,-2.57,150.8,79.78,4.94
272,Plomarion,20,GR,1551297000,92,38.98,26.37,44.6,11.41
273,Linhares,56,BR,1551301736,52,-19.38,-40.06,88.29,12.21
274,Abu Kamal,48,SY,1551301706,73,34.45,40.92,51.43,6.62
275,Porto Novo,40,BR,1551301200,88,-23.68,-45.44,75.2,5.82
276,Neverkino,88,RU,1551301740,93,52.79,46.74,23.62,5.17
277,Moissala,56,TD,1551301743,44,8.34,17.77,81.4,6.62
278,Prince Rupert,1,CA,1551297600,39,54.32,-130.32,48.2,5.82
279,Shimoda,75,JP,1551301512,76,34.7,138.93,51.8,1.12
280,Zvishavane,0,ZW,1551301747,85,-20.32,30.05,67.72,5.39
281,Sirsilla,0,IN,1551301749,46,18.39,78.81,62.19,6.29
282,Muravlenko,0,RU,1551301750,30,63.79,74.5,-21.52,3.15
283,Poum,0,MK,1551301751,82,41.28,20.71,19.8,1.7
284,Yaan,44,NG,1551301753,66,7.38,8.57,81.18,5.95
285,Akora,0,NE,1551301746,17,14.37,3.46,71.37,9.19
286,Roald,75,NO,1551301504,80,62.58,6.12,41.0,13.87
287,Tabory,8,PL,1551301563,62,53.89,19.53,48.0,8.01
288,Galle,1,US,1551301756,57,29.74,-97.91,80.01,6.93
289,Madison,90,US,1551301748,62,43.07,-89.38,21.2,13.87
290,Sidrolandia,75,BR,1551301200,88,-20.93,-54.96,75.2,5.82
291,Sijunjung,92,ID,1551301764,95,-0.69,100.95,71.28,1.81
292,Santa Cruz,75,US,1551301676,67,36.97,-122.03,64.0,8.05
293,San Julian,20,SV,1551301540,29,13.7,-89.56,87.8,8.05
294,Kruisfontein,44,ZA,1551301756,78,-34.0,24.73,62.5,13.67
295,Aldan,68,RU,1551301770,71,58.61,125.39,13.27,6.62
296,Solano,32,PH,1551301771,84,16.52,121.18,57.69,1.48
297,Sicamous,1,CA,1551301262,35,50.84,-118.99,25.0,1.03
298,Constitucion,75,MX,1551301215,7,23.99,-104.67,82.4,6.93
299,Hofn,36,IS,1551301775,100,64.25,-15.21,37.26,8.75
300,Henties Bay,0,NA,1551301330,80,-22.12,14.28,66.0,7.0
301,Ixtapa,5,MX,1551301518,74,20.71,-105.21,79.0,8.05
302,Antoniny,8,UA,1551301780,90,49.81,26.86,32.04,10.76
303,Hasaki,75,JP,1551301476,100,35.73,140.83,43.0,9.17
304,Leon,40,US,1551301308,72,40.74,-93.75,15.8,16.11
305,Benicarlo,0,ES,1551301633,53,40.42,0.43,57.0,1.99
306,College,1,US,1551301509,84,64.86,-147.8,18.0,3.38
307,Luderitz,0,NA,1551301788,70,-26.65,15.16,64.08,19.71
308,Gazli,92,UZ,1551301789,38,40.13,63.45,52.11,14.23
309,Port Lincoln,8,AU,1551301791,100,-34.72,135.86,62.37,6.62
310,Torrington,1,US,1551301787,53,42.06,-104.18,30.2,8.05
311,Rapid Valley,20,US,1551301777,41,44.06,-103.15,25.0,9.17
312,Sioux Lookout,20,CA,1551299940,43,50.1,-91.92,12.2,13.87
313,Sabaudia,0,IT,1551301744,46,41.3,13.03,54.0,6.93
314,Narsaq,75,GL,1551297000,33,60.91,-46.05,42.8,46.08
315,Road Town,40,VG,1551301632,74,18.42,-64.62,79.0,11.41
316,Sinegorye,56,RU,1551301801,62,62.09,150.53,-16.21,2.15
317,Krasnoarmeysk,75,RU,1551300553,74,56.12,38.15,30.99,13.42
318,San Policarpo,48,PH,1551301814,93,12.18,125.51,76.14,11.65
319,Tilichiki,64,RU,1551301793,58,60.47,166.1,-7.3,2.59
320,Vao,0,EE,1551301816,83,59.1,26.19,32.67,9.98
321,Zhigansk,48,RU,1551301818,57,66.77,123.37,-12.25,3.27
322,Anadyr,90,RU,1551301395,92,64.73,177.51,26.6,22.37
323,Pathein,0,MM,1551301627,93,16.78,94.73,70.38,6.62
324,Almaznyy,0,RU,1551299400,92,48.03,40.04,30.2,4.47
325,Carballo,20,ES,1551301803,76,43.21,-8.69,55.99,5.82
326,Puri,40,ID,1551299400,100,-7.54,112.45,78.8,5.82
327,Ranong,0,TH,1551301827,100,9.96,98.62,80.28,10.09
328,Moses Lake,90,US,1551301287,68,47.13,-119.28,30.99,13.87
329,Thompson,90,CA,1551300420,72,55.74,-97.86,14.0,8.05
330,Fairbanks,1,US,1551301509,84,64.84,-147.72,18.0,3.38
331,Pokrovsk,64,UA,1551301834,98,48.28,37.18,27.09,5.06
332,Kambove,12,CD,1551301835,82,-10.88,26.6,66.55,1.92
333,Deori Khas,0,IN,1551301840,70,23.39,79.03,59.22,10.65
334,Cap Malheureux,75,MU,1551301741,83,-19.98,57.61,81.0,3.36
335,Ambilobe,56,MG,1551301842,96,-13.19,49.05,73.98,2.71
336,Sidney,1,US,1551301275,55,47.72,-104.16,10.4,17.22
337,Qasigiannguit,5,GL,1551297000,45,68.82,-51.19,26.6,17.22
338,Inuvik,5,CA,1551297600,72,68.36,-133.71,14.0,9.17
339,Umba,92,RU,1551301848,90,66.69,34.34,29.02,15.79
340,Port Hardy,75,CA,1551297600,55,50.7,-127.42,33.8,2.24
341,Brighton,0,GB,1551301835,87,50.82,-0.14,50.0,2.24
342,Lagoa,0,PT,1551301628,82,37.14,-8.45,57.99,6.93
343,Kakching,76,IN,1551301854,93,24.5,93.98,56.16,2.59
344,Pedernales,36,EC,1551301857,71,0.07,-80.05,83.61,7.29
345,Srednekolymsk,76,RU,1551301859,73,67.46,153.71,-11.35,5.06
346,Manbij,75,SY,1551298800,93,36.53,37.96,43.0,5.82
347,Limulunga,0,ZM,1551301864,49,-15.13,23.15,75.24,7.29
348,Rioja,0,PE,1551301868,54,-6.06,-77.17,76.45,4.61
349,Oleksandrivka,36,UA,1551301869,76,48.97,32.24,24.03,5.17
350,Zeya,32,RU,1551301871,66,53.74,127.27,1.17,2.26
351,Svetlogorsk,75,RU,1551299400,73,53.14,59.15,21.2,11.18
352,Naryan-Mar,80,RU,1551301874,86,67.67,53.09,15.88,10.98
353,Aviles,0,ES,1551301841,71,43.55,-5.92,57.0,3.04
354,Lebedinyy,68,RU,1551301880,71,58.52,125.52,13.27,6.62
355,Entre Rios,8,BR,1551301605,76,-11.94,-38.08,83.97,11.21
356,Ribeira Brava,40,PT,1551301273,63,32.65,-17.07,62.6,5.82
357,Shiroishi,75,JP,1551301423,74,38.0,140.58,41.0,5.82
358,Manitouwadge,75,CA,1551300180,66,49.12,-85.84,12.2,4.7
359,Hammond,40,US,1551301879,69,30.5,-90.46,77.0,5.82
360,Salas,0,ES,1551301841,71,43.41,-6.26,54.0,0.81
361,Husavik,0,CA,1551301805,74,50.56,-96.99,10.99,15.99
362,Nogent-le-Rotrou,0,FR,1551301855,86,48.32,0.82,53.01,8.19
363,Tunceli,90,TR,1551297000,86,39.11,39.55,39.2,9.17
364,Fortuna,0,ES,1551301765,71,38.18,-1.13,57.0,3.36
365,Veraval,0,FR,1551301793,70,49.65,0.71,50.0,1.12
366,Riyadh,75,SA,1551301200,35,24.63,46.72,69.8,9.53
367,Rodrigues Alves,75,BR,1551301200,100,-7.74,-72.65,75.2,3.27
368,Port Hawkesbury,1,CA,1551301861,61,45.62,-61.36,15.01,24.16
369,Saint Anthony,90,US,1551301557,96,43.97,-111.68,37.0,11.41
370,Khasan,0,RU,1551301908,100,42.43,130.64,26.68,6.29
371,Dubbo,88,AU,1551299400,60,-32.25,148.6,68.0,16.11
372,Turukhansk,36,RU,1551301912,92,65.8,87.96,-4.87,5.5
373,Mount Gambier,90,AU,1551301200,100,-37.83,140.78,60.8,5.82
374,Chokurdakh,80,RU,1551301915,70,70.62,147.9,-10.45,12.77
